rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
1,BASIS Peoria,"BASIS Peoria is a charter school that serves fifth through 12th graders.&nbsp;It&#39;s part of a public charter school system with locations across the country. In or before 10th grade, BASIS Peoria students begin taking Advanced Placement courses. In their senior year, students take a college counseling workshop. Select seniors may produce an off-campus research project during their last trimester. Extracurricular activities include several sports teams, Model UN and a robotics club.&nbsp;",Peoria,AZ,,100,263,,,,96.73659674
2,Signature School,"Signature School offers Advanced Placement and International Baccalaureate courses, and its students consistently outscore state and national averages on college entrance exams. In addition to AP and IB courses, students can choose from electives such as piano lab. All Signature School students are expected to complete a minimum number of community service hours. Parent involvement at Signature includes the Parents, Teachers and Students Association, which organizes fundraisers and supplies volunteers for school events.",Evansville,IN,100,99.52,393,90,14,99,71.35714286
3,Tesla STEM High School,"Tesla STEM High School is ranked first within Washington. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Tesla STEM High School is 100%. The total minority enrollment is 81%, and 2% of students are economically disadvantaged. Tesla STEM High School is 1 of 11 high schools in the Lake Washington School District.",Redmond,WA,,100,609,97,21,99,91.94572661
4,Julia R. Masterman Secondary School,"Julia R. Masterman Secondary School is ranked first within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Julia R. Masterman Secondary School is 99%. The total minority enrollment is 59%, and 100% of students are economically disadvantaged. Julia R. Masterman Secondary School is 1 of 56 high schools in the Philadelphia City School District.",Philadelphia,PA,100,96.522,458,100,22,100,68.56578947
5,Payton College Preparatory High School,"Walter Payton College Preparatory High School&#39;s curriculum is centered on honors and Advanced Placement courses in math, science, language and the humanities, among other subjects. Students at Payton can supplement their classroom learning by participating in global exchange and study programs in countries such as France, Belize and South Africa. In addition to core courses and exchange opportunities, the school offers seminars in horseback riding and Pilates.",Chicago,IL,100,96.013,"1,233",95,16,95,85.59376159
6,The School for the Talented and Gifted (TAG),"The School for the Talented and Gifted follows the state&#39;s Distinguished Achievement Program and places an emphasis on Advanced Placement curriculum &mdash; TAG offers 30 AP courses and students are required to take 12 to graduate. Students at TAG may conduct field research via partnerships with local universities, take electives such as fashion marketing and enroll in mini-courses like ballroom dancing or glass blowing during interim terms.",Dallas,TX,100,100,534,100,18,100,87.64266782
7,Academic Magnet High School,"Academic Magnet High School aims to &quot;challenge each student, teacher and parent with high academic expectations.&quot; Almost all courses offered at Academic Magnet High School are either honors or Advanced Placement courses, and every student completes an independent research project over their junior and senior years. Students&#39; work has been published in multiple academic and professional journals. Students can stay connected with Wi-Fi access in the cafeteria and three computer labs.",North Charleston,SC,100,100,719,,17,100,89.26290974
8,International Academy,"Every student at the International Academy participates in the International Baccalaureate program, which emphasizes academics alongside community service. The International Academy also offers enrichment opportunities ranging from career mentorships to international trips. There are opportunities for parents to volunteer at the school. The International Academy has campuses in Bloomfield Hills, Troy and White Lake.",Bloomfield Hills,MI,,98.234,"1,351",96,,98,
9,"Gwinnett School of Mathematics, Science and Technology","Gwinnett School of Mathematics, Science and Technology is ranked first within Georgia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Gwinnett School of Mathematics, Science and Technology is 100%. The total minority enrollment is 86%, and 32% of students are economically disadvantaged. Gwinnett School of Mathematics, Science and Technology is 1 of 27 high schools in the Gwinnett County School District.",Lawrenceville,GA,99.18,97.866,"1,231",100,17,99,91.4250509
10,Riverside Stem Academy,"Riverside Stem Academy is ranked first within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Riverside Stem Academy is 98%. The total minority enrollment is 75%, and 47% of students are economically disadvantaged. Riverside Stem Academy is 1 of 12 high schools in the Riverside Unified School District.",Riverside,CA,100,94.196,250,96,27,100,71.3647084
